Brand,Km_Driven,Fuel,Owner,Selling_Price
BMW,82445,LPG,Third Owner,357980
Toyota,163099,CNG,Second Owner,245408
Jeep,40168,Petrol,Third Owner,201778
Toyota,9962,Diesel,Third Owner,108085
Volvo,97973,LPG,Forth & Above Owner,483399
TATA,182972,Petrol,Forth & Above Owner,134308
Skoda,51660,Petrol,Second Owner,443374
Kia,94720,Petrol,Forth & Above Owner,283610
Skoda,158042,LPG,Second Owner,123515
Mercedes,124428,CNG,Forth & Above Owner,318669
Volkswagen,89290,Petrol,First Owner,270491
Jeep,103594,Petrol,Third Owner,490488
Audi,124657,CNG,Forth & Above Owner,433069
Mahindra,111704,LPG,Third Owner,225576
Volkswagen,36863,CNG,First Owner,297353
Jeep,64126,Petrol,Second Owner,339968
Toyota,170724,CNG,Forth & Above Owner,127248
Honda,112868,Diesel,First Owner,146774
BMW,16439,LPG,First Owner,287315
Skoda,82537,LPG,Second Owner,268752
Kia,6715,Petrol,First Owner,293553
Fiat,140670,LPG,Third Owner,161368
Kia,91080,LPG,Third Owner,220207
BMW,167523,Petrol,Third Owner,450910
Jaguar,132228,LPG,Third Owner,449892
Mahindra,153535,Diesel,First Owner,413820
Fiat,110583,Diesel,Third Owner,123717
BMW,44219,Petrol,First Owner,434132
TATA,85398,Diesel,Second Owner,149668
Toyota,173203,LPG,Forth & Above Owner,186746
Skoda,98505,Diesel,First Owner,188254
Jaguar,182899,CNG,Third Owner,232548
Audi,197317,Diesel,First Owner,385058
Kia,168843,CNG,Forth & Above Owner,234804
Volvo,144831,CNG,Second Owner,344857
Audi,13140,Diesel,Forth & Above Owner,305302
Honda,175123,Diesel,Forth & Above Owner,214045
Fiat,127287,LPG,Forth & Above Owner,335643
BMW,143153,LPG,Forth & Above Owner,381203
Skoda,119372,LPG,Forth & Above Owner,217323
Jeep,49709,CNG,First Owner,163258
Audi,10314,Diesel,Second Owner,110547
Kia,55237,CNG,First Owner,290199
Jaguar,177759,LPG,First Owner,316299
Fiat,186353,Petrol,First Owner,320671
Toyota,170556,Diesel,Forth & Above Owner,336812
Toyota,103119,Diesel,Second Owner,133514
BMW,29694,Diesel,First Owner,222054
Honda,24032,Petrol,Forth & Above Owner,213723
TATA,9942,LPG,First Owner,493507
BMW,122537,Diesel,Forth & Above Owner,388105
Jeep,166655,Petrol,Second Owner,434666
Jaguar,150585,CNG,First Owner,455362
TATA,162778,CNG,First Owner,289416
Volvo,80738,LPG,Third Owner,224884
Volvo,198900,Diesel,First Owner,282707
Jaguar,101322,LPG,Forth & Above Owner,309393
Jaguar,54556,LPG,First Owner,469315
Mercedes,147080,Diesel,Forth & Above Owner,110555
Jeep,142808,Diesel,First Owner,284331
Volkswagen,73836,LPG,Second Owner,480218
TATA,85030,LPG,Forth & Above Owner,111472
TATA,137421,CNG,Second Owner,382971
BMW,39076,CNG,Third Owner,251011
TATA,30658,Petrol,Forth & Above Owner,111450
Hyundai,198968,CNG,Second Owner,417124
Audi,126170,Petrol,Second Owner,158789
Kia,149745,Diesel,Second Owner,164769
Mahindra,132232,Diesel,Forth & Above Owner,474876
Volvo,36744,Petrol,Second Owner,181787
Fiat,21729,CNG,First Owner,306130
Skoda,61356,CNG,Forth & Above Owner,209968
TATA,63053,CNG,Forth & Above Owner,461076
Toyota,6882,Petrol,Third Owner,111321
Mahindra,142970,CNG,Second Owner,286007
Honda,153281,CNG,Third Owner,157444
Jaguar,130686,LPG,First Owner,330950
Jeep,56868,Petrol,Forth & Above Owner,257032
Toyota,7910,LPG,Third Owner,171935
TATA,21650,Petrol,Second Owner,190689
Hyundai,19408,CNG,Forth & Above Owner,389307
TATA,140073,Petrol,First Owner,328309
Mahindra,198292,LPG,Forth & Above Owner,227265
Kia,156316,Petrol,Forth & Above Owner,260652
Hyundai,93618,LPG,Third Owner,418811
Audi,186851,LPG,First Owner,212961
TATA,117425,Diesel,First Owner,473953
Volvo,165728,Petrol,First Owner,321527
Volkswagen,72216,Petrol,First Owner,164773
Kia,120199,CNG,Forth & Above Owner,159190
TATA,71470,CNG,Forth & Above Owner,217921
Toyota,52817,Petrol,Second Owner,245923
Kia,76820,LPG,Forth & Above Owner,449410
BMW,39954,LPG,First Owner,284963
Mahindra,42748,Petrol,Forth & Above Owner,394872
Skoda,11180,CNG,First Owner,475124
Mercedes,132731,Petrol,First Owner,307716
Volkswagen,85364,CNG,Forth & Above Owner,247531
Skoda,44664,Petrol,Second Owner,196376
Mercedes,87766,Petrol,Forth & Above Owner,480133
Mercedes,81468,LPG,Second Owner,185968
Volvo,151997,CNG,Second Owner,161271
Toyota,152798,Petrol,Second Owner,202925
Fiat,32014,LPG,Forth & Above Owner,319274
Audi,53318,Diesel,Second Owner,188598
Volvo,71071,CNG,Third Owner,171361
Volvo,180300,CNG,Third Owner,180523
Volvo,193496,CNG,Forth & Above Owner,190242
Fiat,74077,CNG,Second Owner,174386
Audi,57477,Diesel,Second Owner,119948
Volkswagen,194919,Petrol,Forth & Above Owner,445661
Honda,109678,Diesel,Third Owner,410948
Hyundai,59688,CNG,Third Owner,353384
Volkswagen,38068,Diesel,Third Owner,335977
Audi,120353,CNG,Forth & Above Owner,355870
Mahindra,6965,CNG,Forth & Above Owner,490330
Volkswagen,62362,Petrol,Second Owner,158615
Hyundai,115107,CNG,Second Owner,261981
Skoda,113400,Diesel,Third Owner,188454
Hyundai,159516,CNG,Forth & Above Owner,352367
Honda,118770,Petrol,Third Owner,430129
Volkswagen,169675,CNG,Forth & Above Owner,145598
Mahindra,141216,LPG,Forth & Above Owner,457315
Mahindra,57052,Petrol,Forth & Above Owner,436173
Jeep,57753,CNG,First Owner,305287
Hyundai,98180,Diesel,Second Owner,492853
Jeep,177401,CNG,Third Owner,322651
Volvo,11523,Petrol,Third Owner,225716
Kia,190236,LPG,Second Owner,331697
Mahindra,197701,LPG,Second Owner,388573
Jaguar,192201,Petrol,First Owner,441802
Volvo,41496,Diesel,Third Owner,162839
Hyundai,190343,Petrol,Third Owner,341276
Mahindra,71304,Petrol,Second Owner,314388
Hyundai,19763,LPG,First Owner,432361
Mercedes,58822,CNG,Forth & Above Owner,431919
Kia,129141,Diesel,Third Owner,322589
Jeep,41123,Petrol,Second Owner,171610
Volvo,61212,Diesel,Second Owner,154055
TATA,185598,CNG,Third Owner,489527
Jaguar,144837,LPG,Second Owner,454618
BMW,110369,CNG,Second Owner,211384
TATA,179022,CNG,Second Owner,200640
Jeep,187707,CNG,First Owner,193737
BMW,132250,Diesel,Third Owner,493395
Skoda,141819,LPG,Third Owner,431293
Volkswagen,37062,Diesel,Forth & Above Owner,309828
Toyota,178613,CNG,Third Owner,384383
Volkswagen,42694,LPG,Forth & Above Owner,259535
Mahindra,67234,LPG,First Owner,165243
Toyota,145308,LPG,Second Owner,494607
Kia,119599,LPG,Second Owner,274683
Kia,30560,Diesel,Forth & Above Owner,280524
Audi,29340,Petrol,First Owner,461633
Volkswagen,39187,LPG,Forth & Above Owner,332682
Jaguar,90366,Diesel,First Owner,418192
Mahindra,105222,Petrol,Forth & Above Owner,152542
Skoda,51284,CNG,Second Owner,244204
Mahindra,181932,LPG,Second Owner,340285
TATA,63658,LPG,Third Owner,471216
Mahindra,175364,Diesel,Third Owner,472296
Audi,128156,CNG,Third Owner,427905
Skoda,125740,CNG,Forth & Above Owner,358324
Audi,133088,Diesel,Third Owner,298123
Honda,41837,Petrol,Forth & Above Owner,330534
Audi,149684,LPG,First Owner,287866
Volkswagen,177677,LPG,First Owner,340055
Volkswagen,19634,CNG,First Owner,375109
Fiat,105332,LPG,First Owner,344627
Honda,194339,Diesel,Forth & Above Owner,342948
Audi,124573,LPG,Third Owner,383521
Audi,132806,LPG,Third Owner,370813
Hyundai,40014,LPG,First Owner,235856
Hyundai,156921,LPG,Second Owner,246539
Honda,185962,CNG,Second Owner,467259
Mercedes,32405,Diesel,Third Owner,282507
Honda,46287,Petrol,First Owner,230617
Mahindra,188848,LPG,Second Owner,367589
TATA,14306,LPG,First Owner,393906
Skoda,184368,Diesel,First Owner,435761
Honda,73392,Diesel,Second Owner,409446
Volkswagen,82355,LPG,Second Owner,389525
Jaguar,76184,CNG,Third Owner,142356
Honda,39208,Diesel,First Owner,222765
Skoda,65494,Diesel,First Owner,389149
Fiat,166609,Petrol,Second Owner,433903
Jeep,163292,CNG,Forth & Above Owner,291149
Volvo,133226,Diesel,Forth & Above Owner,322021
Mercedes,42955,Diesel,Third Owner,447293
Mahindra,172062,CNG,First Owner,248537
Jaguar,181863,CNG,Forth & Above Owner,455302
Toyota,62453,Petrol,Second Owner,331279
Hyundai,14217,Petrol,Third Owner,448300
Toyota,129632,Diesel,Second Owner,100495
Mercedes,149690,Petrol,Third Owner,460669
Jeep,179252,CNG,First Owner,369424
Audi,59252,Petrol,First Owner,300865
BMW,97083,CNG,Third Owner,449008
BMW,153129,Diesel,First Owner,213744
Mercedes,190821,Petrol,Second Owner,150547
Toyota,91394,LPG,Forth & Above Owner,498825
Jeep,93580,LPG,Second Owner,392646
Volkswagen,115081,CNG,Forth & Above Owner,376755
Honda,128565,Petrol,Forth & Above Owner,256529
Audi,64325,Petrol,Second Owner,225174
Hyundai,21861,Diesel,Third Owner,435823
Toyota,66143,Diesel,Forth & Above Owner,358783
Honda,63638,LPG,First Owner,179128
Mahindra,150205,Diesel,Third Owner,422664
Honda,199615,Petrol,Third Owner,285682
Mahindra,69039,Diesel,First Owner,129974
Mercedes,112367,Diesel,Third Owner,308211
Jaguar,71595,CNG,Second Owner,407015
Kia,86862,CNG,Forth & Above Owner,397070
Hyundai,195496,Diesel,Forth & Above Owner,359321
Honda,192234,Petrol,Third Owner,212516
Honda,194853,Diesel,Second Owner,216890
Mercedes,155635,CNG,First Owner,353167
Honda,81106,CNG,Forth & Above Owner,492270
Volkswagen,190211,Petrol,Third Owner,405863
Honda,55030,Diesel,Forth & Above Owner,369576
Jeep,62946,Petrol,Second Owner,223404
Jeep,47916,CNG,Second Owner,352886
BMW,189933,Diesel,Second Owner,279390
Volvo,39134,CNG,Forth & Above Owner,178319
Kia,172444,CNG,Second Owner,374102
Volvo,121274,LPG,Third Owner,253577
Jeep,120274,Diesel,Forth & Above Owner,169928
TATA,55202,Diesel,First Owner,412419
BMW,30793,LPG,First Owner,285868
Skoda,62533,LPG,Second Owner,370968
Honda,5949,CNG,Third Owner,478220
Jaguar,185357,Diesel,First Owner,247713
Toyota,125346,Diesel,Second Owner,343788
Fiat,12619,Diesel,Third Owner,102271
BMW,112092,Petrol,Forth & Above Owner,340448
Mahindra,169411,Petrol,Second Owner,245121
Skoda,154318,Petrol,Second Owner,282078
Hyundai,65879,Petrol,First Owner,357400
Mahindra,86034,Diesel,Third Owner,196061
Mahindra,56616,Petrol,Second Owner,453323
Hyundai,160914,CNG,Third Owner,419000
Volkswagen,8116,CNG,Third Owner,198829
Volkswagen,18006,LPG,Forth & Above Owner,233458
Mercedes,37540,Petrol,First Owner,378613
Hyundai,64554,Petrol,Forth & Above Owner,421645
Jaguar,142889,Petrol,First Owner,327203
Toyota,191430,Diesel,Forth & Above Owner,350521
BMW,118818,Petrol,First Owner,238985
BMW,58990,CNG,Third Owner,463720
Kia,111061,LPG,First Owner,411456
Volkswagen,112791,CNG,Forth & Above Owner,365623
Audi,50250,Diesel,Forth & Above Owner,206142
Audi,16136,Petrol,Forth & Above Owner,376656
Volvo,18814,CNG,Second Owner,350056
Volvo,165077,Petrol,Third Owner,387077
Toyota,168516,LPG,First Owner,175757
BMW,15155,Petrol,Forth & Above Owner,219705
Mahindra,146317,LPG,Second Owner,446111
Toyota,137214,Diesel,First Owner,257922
Audi,188990,Diesel,First Owner,350648
TATA,184472,CNG,Third Owner,343111
Toyota,198608,CNG,Third Owner,163897
Kia,11125,CNG,Forth & Above Owner,170923
Jeep,165725,Petrol,Third Owner,351640
BMW,45886,Diesel,Second Owner,451343
Jaguar,152555,LPG,Forth & Above Owner,486408
Toyota,149751,CNG,Third Owner,287465
TATA,17229,Diesel,Third Owner,437525
Mahindra,184243,LPG,Third Owner,341728
TATA,7273,Diesel,Third Owner,263983
Audi,87945,LPG,Second Owner,262066
Toyota,199436,Diesel,First Owner,397225
BMW,179444,LPG,Forth & Above Owner,422767
Volvo,20619,CNG,Forth & Above Owner,297768
Mercedes,161566,Petrol,Second Owner,338166
Audi,195147,Diesel,Third Owner,338850
Volvo,24232,Petrol,Third Owner,100805
TATA,11520,Diesel,Third Owner,162906
BMW,166717,Diesel,First Owner,477616
BMW,163541,Petrol,Second Owner,149479
Kia,184025,Petrol,Second Owner,452625
Volkswagen,43577,LPG,Third Owner,302218
Kia,16531,Diesel,Second Owner,103594
Jaguar,38605,CNG,Third Owner,379070
Kia,111060,CNG,Second Owner,411138
Mahindra,130900,Diesel,Forth & Above Owner,372652
Jaguar,156845,Petrol,Forth & Above Owner,286437
BMW,164317,Petrol,Second Owner,206889
Hyundai,11258,LPG,First Owner,272818
Toyota,194231,Diesel,Forth & Above Owner,321002
Skoda,63502,Diesel,Third Owner,355835
Fiat,166339,LPG,Third Owner,310284
Kia,148240,Petrol,Forth & Above Owner,127189
Toyota,184425,Diesel,Forth & Above Owner,159105
Volkswagen,173417,Petrol,Second Owner,103490
Volvo,111908,Petrol,Third Owner,285740
Audi,191832,Diesel,Second Owner,356218
Volkswagen,78473,CNG,Second Owner,284596
Toyota,28010,Diesel,Forth & Above Owner,205317
Mercedes,138642,Diesel,Forth & Above Owner,270904
Mahindra,126413,Diesel,Third Owner,483583
TATA,194134,Diesel,Forth & Above Owner,419772
Fiat,65012,Petrol,Forth & Above Owner,137417
Mercedes,174820,LPG,Third Owner,486936
Mercedes,33374,Diesel,First Owner,223668
Jeep,135057,Diesel,Third Owner,463751
TATA,69666,Diesel,Forth & Above Owner,258678
TATA,23899,CNG,First Owner,158680
TATA,18570,LPG,Forth & Above Owner,306643
TATA,70437,Diesel,Third Owner,241752
Mercedes,48010,Diesel,Forth & Above Owner,299446
Volkswagen,180933,LPG,Forth & Above Owner,300594
Hyundai,158074,Diesel,Second Owner,159532
Jeep,153585,Diesel,First Owner,238462
Honda,152363,Diesel,First Owner,363217
Mercedes,139410,Diesel,Forth & Above Owner,204832
Mahindra,195297,Petrol,Third Owner,203695
Honda,191064,Petrol,Second Owner,453005
Mercedes,98377,LPG,Second Owner,428893
Jeep,26502,Petrol,Forth & Above Owner,487437
Honda,9070,CNG,Third Owner,234813
Volkswagen,75719,CNG,First Owner,159872
Fiat,144236,Diesel,Third Owner,263532
Volvo,139922,Petrol,Third Owner,118273
Volkswagen,171078,LPG,First Owner,303220
Mahindra,73750,CNG,Second Owner,329616
Volvo,102738,LPG,Forth & Above Owner,484150
Jaguar,115161,Petrol,First Owner,446401
Hyundai,135479,Diesel,Third Owner,421932
Mahindra,31957,LPG,Third Owner,305876
Kia,184705,Petrol,First Owner,285967
Kia,118532,LPG,First Owner,396162
Volvo,41375,CNG,First Owner,381297
Mahindra,121480,Diesel,Third Owner,304157
TATA,143678,LPG,First Owner,490926
Skoda,179637,LPG,Third Owner,274077
Mahindra,11476,Petrol,Forth & Above Owner,456520
Volvo,146293,CNG,Forth & Above Owner,157027
Mahindra,40154,LPG,Third Owner,205757
Mercedes,23117,Diesel,Third Owner,147818
Toyota,25249,Petrol,First Owner,245777
Mercedes,51980,Petrol,First Owner,275139
BMW,37083,Diesel,Forth & Above Owner,284076
Audi,12328,Diesel,Second Owner,137730
Hyundai,38841,Petrol,Forth & Above Owner,351861
Hyundai,97104,Diesel,Forth & Above Owner,369884
Hyundai,72976,Diesel,Second Owner,246005
Skoda,22205,CNG,First Owner,262660
Volkswagen,123959,Diesel,Second Owner,140955
Volkswagen,31190,Diesel,Third Owner,464264
Volkswagen,27520,Petrol,Forth & Above Owner,359132
Fiat,167076,Diesel,Third Owner,341639
TATA,69454,Diesel,Forth & Above Owner,308216
Toyota,126757,LPG,First Owner,395591
Skoda,62283,CNG,First Owner,294107
Honda,20777,Diesel,Forth & Above Owner,141067
Volkswagen,53432,Diesel,Third Owner,323645
Skoda,186223,CNG,Second Owner,140609
Kia,120496,Petrol,Third Owner,448093
Fiat,163269,Petrol,Second Owner,318188
Mercedes,65460,CNG,First Owner,390288
Honda,104905,CNG,First Owner,422259
Toyota,165532,Diesel,Third Owner,131420
Honda,178443,Petrol,Forth & Above Owner,177560
Honda,195553,CNG,Third Owner,320874
Volkswagen,103419,Petrol,Second Owner,383958
Mercedes,132007,LPG,Second Owner,432256
BMW,103143,Petrol,Forth & Above Owner,123464
Volkswagen,128014,CNG,First Owner,391979
BMW,51851,Petrol,Third Owner,206196
Mahindra,154341,LPG,Second Owner,325015
Hyundai,160123,CNG,First Owner,432968
Volkswagen,12654,CNG,Third Owner,482732
Kia,97958,CNG,Forth & Above Owner,270612
Mahindra,10907,Diesel,Third Owner,271913
Jeep,94223,LPG,Forth & Above Owner,132190
Audi,183380,Petrol,First Owner,347465
Volvo,85983,CNG,Third Owner,385700
Hyundai,118560,CNG,Second Owner,147389
TATA,61811,Diesel,Third Owner,361820
Skoda,125992,Petrol,Forth & Above Owner,356844
Kia,146093,LPG,Third Owner,201121
Kia,119465,LPG,First Owner,474013
Toyota,187122,LPG,Forth & Above Owner,213311
Mahindra,112401,CNG,First Owner,499506
Toyota,81890,LPG,First Owner,150729
Toyota,118932,Petrol,Second Owner,361691
Jeep,193015,CNG,Forth & Above Owner,375731
Hyundai,116246,LPG,Second Owner,395296
Mahindra,193614,CNG,Third Owner,212887
Toyota,15721,CNG,Forth & Above Owner,155175
Mercedes,24551,Petrol,First Owner,100417
Hyundai,108850,Petrol,Second Owner,298143
Kia,145703,Petrol,Second Owner,315877
Volkswagen,182229,Petrol,First Owner,397983
Mahindra,191173,Petrol,First Owner,463819
Audi,178362,Petrol,Third Owner,244793
Jeep,99066,CNG,Forth & Above Owner,384874
Toyota,199439,Diesel,First Owner,496079
Mercedes,190469,LPG,Third Owner,285727
TATA,63209,Diesel,Forth & Above Owner,327232
Kia,91150,CNG,Second Owner,120677
Jaguar,81046,Diesel,First Owner,121290
Volvo,13932,CNG,Second Owner,104745
Honda,161903,Petrol,Third Owner,237824
TATA,51812,LPG,Second Owner,381911
Honda,99392,Diesel,Third Owner,187692
BMW,59526,Diesel,Third Owner,154775
TATA,14023,Petrol,Forth & Above Owner,369938
Honda,8496,CNG,First Owner,323604
Mahindra,178427,LPG,Second Owner,101210
Volkswagen,83684,CNG,Second Owner,468467
Jaguar,11455,Diesel,Third Owner,174795
Audi,198765,Diesel,Forth & Above Owner,410383
Hyundai,55005,LPG,First Owner,219993
Jaguar,123062,Petrol,Forth & Above Owner,171006
BMW,23528,Petrol,Third Owner,433750
Fiat,154336,LPG,First Owner,214786
TATA,24269,LPG,First Owner,136038
Mahindra,33088,Petrol,Third Owner,167401
Honda,93909,CNG,Second Owner,400034
TATA,183441,Diesel,First Owner,114714
BMW,175155,Petrol,Forth & Above Owner,369187
Honda,61582,LPG,First Owner,250096
Jeep,143614,Diesel,First Owner,324839
Skoda,38278,CNG,Forth & Above Owner,277183
Hyundai,62587,LPG,Forth & Above Owner,140807
Volkswagen,21273,LPG,Third Owner,321728
Honda,75011,LPG,Second Owner,390432
BMW,120720,LPG,First Owner,449805
BMW,44279,LPG,Second Owner,343313
Mercedes,84011,LPG,Third Owner,258771
Volvo,25080,Diesel,Forth & Above Owner,224633
BMW,148412,Petrol,Second Owner,426316
Mahindra,131824,CNG,Third Owner,380965
Mercedes,138112,Petrol,Forth & Above Owner,409136
Fiat,125345,Petrol,Forth & Above Owner,356988
Toyota,169197,Diesel,Forth & Above Owner,171405
Volkswagen,111236,Diesel,Forth & Above Owner,297083
Jaguar,117367,CNG,Third Owner,362610
Audi,9752,Petrol,Second Owner,232087
Volvo,105436,LPG,Third Owner,319214
Jaguar,197506,LPG,First Owner,442897
Toyota,44538,Diesel,Forth & Above Owner,466348
Jaguar,144179,LPG,Third Owner,375606
Mahindra,120837,CNG,Second Owner,341916
Fiat,110995,Diesel,Third Owner,433364
Skoda,100146,Petrol,First Owner,251768
BMW,120535,Petrol,Forth & Above Owner,325171
Kia,139533,Diesel,Forth & Above Owner,277036
Mahindra,13341,Petrol,First Owner,481378
Mercedes,137430,Diesel,Third Owner,356249
Volkswagen,40606,LPG,Forth & Above Owner,240574
Mahindra,66702,CNG,Forth & Above Owner,334614
Toyota,45037,Petrol,Third Owner,466942
Kia,23188,Diesel,First Owner,341100
Hyundai,85563,Petrol,Third Owner,259429
Toyota,153759,CNG,Second Owner,214228
Jeep,73992,Diesel,Forth & Above Owner,271662
Jeep,70477,CNG,First Owner,111372
Audi,121910,Petrol,Third Owner,412349
Volkswagen,54038,Diesel,Third Owner,315640
Toyota,126745,CNG,Second Owner,228030
Volvo,100354,CNG,First Owner,493083
Volvo,25164,Diesel,Forth & Above Owner,416698
Volkswagen,91084,LPG,Third Owner,329713
Honda,10972,Diesel,Second Owner,140487
Fiat,118929,LPG,Second Owner,385653
Volkswagen,13244,Petrol,First Owner,240730
Hyundai,112867,Petrol,Third Owner,363779
TATA,54300,LPG,Forth & Above Owner,240178
Hyundai,75045,CNG,Second Owner,427784
Mercedes,68693,CNG,Third Owner,212868
Honda,128388,Petrol,First Owner,404306
Jaguar,147979,Diesel,Forth & Above Owner,372459
Volvo,85743,CNG,Forth & Above Owner,414846
Mahindra,27840,LPG,Second Owner,409011
Fiat,101853,Petrol,Forth & Above Owner,276032
TATA,157448,Petrol,Second Owner,185745
Jeep,34905,CNG,Third Owner,465590
Jeep,68441,LPG,Forth & Above Owner,334466
Volvo,69810,CNG,Forth & Above Owner,132948
Volvo,14592,LPG,First Owner,447245
Volkswagen,59754,Petrol,First Owner,185580
Mercedes,52033,Petrol,Forth & Above Owner,476939
Volvo,36153,LPG,Forth & Above Owner,115075
Skoda,165090,CNG,First Owner,132739
Kia,173260,Petrol,Third Owner,485830
Hyundai,102359,Petrol,Forth & Above Owner,420537
TATA,69188,Diesel,Forth & Above Owner,447615
Audi,154349,Petrol,First Owner,417670
Hyundai,169003,LPG,Forth & Above Owner,211243
Volkswagen,165015,LPG,Third Owner,244552
Volvo,109203,Petrol,Forth & Above Owner,266282
Jaguar,68570,LPG,Second Owner,363302
Toyota,7126,CNG,Forth & Above Owner,346555
Skoda,131317,Diesel,First Owner,352506
Audi,30350,Diesel,First Owner,175314
Mahindra,86877,Diesel,Second Owner,340580
Fiat,47220,Petrol,First Owner,479111
Honda,140443,Petrol,First Owner,318333
Hyundai,88817,Petrol,Third Owner,363321
Mahindra,197586,Diesel,First Owner,114476
BMW,13025,Diesel,Second Owner,366899
Hyundai,149541,CNG,First Owner,351067
Skoda,19645,Diesel,First Owner,232974
Jaguar,37444,CNG,First Owner,409464
Audi,112621,Diesel,Second Owner,391647
Toyota,182127,Diesel,Third Owner,465245
Mahindra,172377,LPG,Forth & Above Owner,419285
Mercedes,112313,Diesel,First Owner,324916
Jaguar,107684,Diesel,Forth & Above Owner,208836
Mercedes,160252,LPG,Third Owner,361954
Volvo,144491,Diesel,Third Owner,493861
Mahindra,104149,Petrol,Forth & Above Owner,420676
TATA,127264,CNG,Forth & Above Owner,144003
Volkswagen,40764,CNG,Third Owner,393114
Mercedes,39491,CNG,Second Owner,490589
TATA,82702,Petrol,Forth & Above Owner,354649
Fiat,113684,Diesel,Forth & Above Owner,464620
Mercedes,103750,LPG,Second Owner,257901
Skoda,139522,Diesel,Third Owner,386902
Mahindra,33260,Diesel,Second Owner,369658
Skoda,35024,CNG,Forth & Above Owner,233837
Honda,174960,CNG,Second Owner,335641
Volkswagen,160922,Petrol,Forth & Above Owner,194553
Jeep,178722,CNG,Forth & Above Owner,336563
BMW,101005,Diesel,First Owner,337711
Mercedes,153061,Petrol,Forth & Above Owner,226142
Hyundai,62980,LPG,Second Owner,410759
Volvo,150146,LPG,Third Owner,282431
TATA,81198,LPG,Forth & Above Owner,434314
Audi,127252,CNG,Second Owner,328071
Honda,186260,Diesel,First Owner,374597
Skoda,176615,CNG,Forth & Above Owner,404643
Kia,116430,LPG,Third Owner,335042
Audi,144379,CNG,Forth & Above Owner,496940
BMW,117087,CNG,Second Owner,329321
Audi,121479,LPG,Second Owner,434322
Audi,192682,Diesel,Forth & Above Owner,102396
Volvo,193731,Diesel,Forth & Above Owner,252100
Mahindra,75283,CNG,Third Owner,325542
TATA,118136,Diesel,Forth & Above Owner,462337
Volkswagen,112838,Diesel,Forth & Above Owner,173870
Jaguar,174118,Petrol,Second Owner,361335
Mahindra,125454,LPG,Third Owner,483048
Kia,60588,CNG,Second Owner,342647
Volkswagen,44233,CNG,Third Owner,323784
BMW,27849,CNG,Third Owner,194200
Toyota,93746,Petrol,First Owner,187210
Mahindra,191095,LPG,Second Owner,316433
Skoda,56083,Petrol,Third Owner,148398
Fiat,133762,CNG,Third Owner,395405
TATA,58452,Petrol,Second Owner,442988
Skoda,164509,Diesel,Third Owner,322684
Jaguar,86994,CNG,Third Owner,197399
Honda,10047,Petrol,Forth & Above Owner,353823
Volvo,193322,Diesel,Second Owner,454392
Volkswagen,25457,Diesel,Third Owner,201444
Honda,55402,Petrol,Third Owner,354161
Fiat,128765,LPG,Third Owner,419663
Jaguar,83039,Petrol,Forth & Above Owner,464435
Honda,109814,Diesel,Second Owner,309394
Honda,158918,CNG,First Owner,340399
Audi,154369,CNG,First Owner,490793
Volkswagen,112244,Diesel,Forth & Above Owner,400129
Honda,45158,Petrol,Forth & Above Owner,284937
Honda,87581,CNG,Second Owner,347390
Jeep,103110,CNG,Forth & Above Owner,210900
Volvo,66443,CNG,First Owner,186220
Audi,107328,CNG,Second Owner,348626
Toyota,184663,CNG,Second Owner,258747
Volvo,43281,LPG,Third Owner,148753
Audi,11218,CNG,First Owner,287464
Fiat,115538,LPG,First Owner,487071
Honda,192689,Petrol,Third Owner,276106
Jeep,66422,Diesel,Forth & Above Owner,358142
Fiat,152588,LPG,First Owner,375689
TATA,91234,LPG,Third Owner,277518
Volkswagen,25576,Diesel,Forth & Above Owner,103321
Volvo,146348,CNG,First Owner,305666
Hyundai,117520,Diesel,Third Owner,432345
BMW,164158,Diesel,Forth & Above Owner,384664
Mahindra,93230,Diesel,First Owner,379565
Mahindra,55647,CNG,Third Owner,210506
Mercedes,56123,Diesel,First Owner,117491
Jeep,42138,Diesel,First Owner,423193
TATA,114273,Diesel,Third Owner,478116
Volvo,121242,CNG,Forth & Above Owner,442307
Kia,181979,Diesel,Forth & Above Owner,202677
TATA,22115,Petrol,Forth & Above Owner,466206
TATA,183470,Diesel,Third Owner,274547
Jeep,160684,CNG,Third Owner,304178
Hyundai,184759,Diesel,Forth & Above Owner,270246
Mercedes,64869,CNG,Third Owner,382756
Hyundai,106802,LPG,First Owner,398351
Toyota,87853,Diesel,Forth & Above Owner,286863
BMW,31566,LPG,Forth & Above Owner,293823
Jeep,169395,LPG,Second Owner,339464
Mahindra,15801,Petrol,Third Owner,286288
Jeep,123363,CNG,First Owner,454351
Skoda,18572,Diesel,Second Owner,299469
Skoda,193649,CNG,Third Owner,398472
Jeep,38604,Petrol,Forth & Above Owner,133791
Audi,170676,CNG,Forth & Above Owner,202463
Honda,134708,CNG,Forth & Above Owner,363084
Mercedes,10612,LPG,Third Owner,421617
Mercedes,186343,CNG,Third Owner,452659
Jaguar,70687,Petrol,Third Owner,190738
Skoda,9095,LPG,Forth & Above Owner,329416
BMW,166956,Diesel,Third Owner,435722
Fiat,105453,LPG,Third Owner,184054
Volkswagen,86919,Petrol,First Owner,162237
Toyota,184124,Diesel,First Owner,459037
Skoda,102253,Petrol,Third Owner,331006
Fiat,75955,Petrol,Second Owner,497899
Kia,184896,CNG,Forth & Above Owner,252729
Jeep,145656,Petrol,First Owner,122997
Volkswagen,166562,Petrol,Second Owner,489677
